User ID,Age,Experience Level,Usage Frequency,Preferred Onboarding Format,Features Used,Engagement Level,Completion Rate (%),Time to Complete Onboarding (min),Total Features Explored,Engagement Time (min/session),Clicks per Session,Drop-off Rate (%),Satisfaction Score,Behavioral Score,Referral Rate (%),Device,Location
01JD27V455QECS7WM1HTZM1PZG,32,Intermediate,Occasionally,Interactive tutorial,Messaging,High,35,30,3,29,13,46,63,10,13,Desktop,Manila
01JD27V45AEMDZG3AYWNG0FKME,34,Advanced,Occasionally,Video,Profile,Low,83,29,3,29,13,34,63,24,24,Tablet,Iloilo
01JD27V4HJ4K12ZRNM1C4M29BY,33,Advanced,Daily,Text-based instructions,Profile,High,99,30,6,23,6,24,73,23,13,Mobile,Iloilo
01JD27V4HNJCMZ75NHXNDPK983,37,Intermediate,Weekly,Interactive tutorial,Dashboard,Low,36,21,6,19,9,24,75,17,9,Mobile,Cagayan de Oro
01JD27V4HRPHW4QDX3RTV6Z6RF,28,First-time,Daily,Video,Profile settings,Low,33,24,2,28,14,28,80,10,4,Mobile,Iloilo
01JD27V4HVFNHXMHVQT6W4V2N8,32,First-time,Daily,Video,Profile settings,High,60,29,2,28,13,28,68,6,13,Tablet,Iloilo
01JD27V4HYAXP8YSAPPZ49BA1K,40,Advanced,Weekly,Text-based instructions,Reports,Medium,35,13,2,13,15,16,61,20,0,Desktop,Manila
01JD27V4HZMRR9Y5ENDZ9C7X66,18,First-time,Weekly,Video,Messaging,High,87,29,4,25,10,19,88,13,12,Mobile,Quezon City
01JD27V4J263X4YV6FEEFHQ2AP,19,Advanced,Weekly,Video,Profile,Low,26,22,4,29,7,25,60,17,22,Mobile,Cagayan de Oro
01JD27V4J42SFHM5K3HH71GYR7,39,First-time,Weekly,Interactive tutorial,Messaging,Medium,41,17,3,10,12,20,69,14,19,Desktop,Cebu
01JD27V4J6F1SAG62YRADKKTMG,25,Intermediate,Occasionally,Interactive tutorial,Profile,High,94,28,3,24,15,42,76,9,14,Mobile,Iloilo
01JD27V4J8H8KEFKB8TZA8VDJS,27,Advanced,Occasionally,Interactive tutorial,Dashboard,Low,73,25,2,16,8,9,64,3,3,Mobile,Cagayan de Oro
01JD27V4J90WJRRN9RZ2Q1E3JA,25,Advanced,Weekly,Text-based instructions,Reports,Low,96,23,2,20,7,30,63,3,1,Tablet,Cebu
01JD27V4JBN196FGTGNQKY25E8,29,Intermediate,Daily,Video,Profile settings,Low,84,14,4,13,5,43,76,11,20,Mobile,Cagayan de Oro
01JD27V4JD5CP3J6AQXMXVVRGN,31,First-time,Occasionally,Text-based instructions,Profile,Low,34,21,4,27,13,18,63,18,12,Desktop,Davao
01JD27V4JG5WAJ6Y0A2Z375B1P,32,Advanced,Weekly,Interactive tutorial,Profile,Medium,58,30,2,30,11,44,87,12,3,Mobile,Cavite
01JD27V4JKD0WK2TH7081VQ1HR,35,Intermediate,Daily,Text-based instructions,Dashboard,Medium,80,29,1,29,14,28,68,21,4,Mobile,Manila
